卫生满意度,环境满意度,服务满意度,品种满意度,总体满意度
62,56,83,67,67.0
51,97,64,98,77.5
75,72,57,72,69.0
50,66,64,76,64.0
65,78,68,67,69.5
89,57,84,93,80.75
96,52,93,72,78.25
89,74,100,60,80.75
77,71,85,99,83.0
66,75,84,62,71.75
61,79,100,97,84.25
52,80,93,65,72.5
83,67,51,85,71.5
52,65,71,59,61.75
81,71,58,69,69.75
80,67,76,63,71.5
63,94,60,66,70.75
63,50,75,72,65.0
94,61,51,88,73.5
63,99,88,79,82.25
57,99,58,56,67.5
50,72,93,74,72.25
57,89,92,70,77.0
83,86,90,79,84.5
95,54,98,62,77.25
63,70,94,96,80.75
61,86,59,82,72.0
53,80,51,69,63.25
87,93,57,66,75.75
90,83,56,68,74.25
